2026-04-18 14:14:43 | WARNING | ERRO [dsp20163284.pdf] https://www2.aneel.gov.br/cedoc/dsp20163284.pdf | HTTPError: 403 Client Error: Forbidden for url: https://www2.aneel.gov.br/cedoc/dsp20163284.pdf
2026-04-18 14:14:43 | WARNING | ERRO [dsp20163386ti.pdf] https://www2.aneel.gov.br/cedoc/dsp20163386ti.pdf | HTTPError: 403 Client Error: Forbidden for url: https://www2.aneel.gov.br/cedoc/dsp20163386ti.pdf
2026-04-18 14:19:44 | WARNING | ERRO [dsp20163284.pdf] https://www2.aneel.gov.br/cedoc/dsp20163284.pdf | HTTPError: 403 Client Error: Forbidden for url: https://www2.aneel.gov.br/cedoc/dsp20163284.pdf
2026-04-18 14:19:44 | WARNING | ERRO [dsp20163386ti.pdf] https://www2.aneel.gov.br/cedoc/dsp20163386ti.pdf | HTTPError: 403 Client Error: Forbidden for url: https://www2.aneel.gov.br/cedoc/dsp20163386ti.pdf
2026-04-18 14:20:17 | WARNING | ERRO [ndsp20163386.pdf] https://www2.aneel.gov.br/cedoc/ndsp20163386.pdf | HTTPError: 403 Client Error: Forbidden for url: https://www2.aneel.gov.br/cedoc/ndsp20163386.pdf
2026-04-18 14:20:17 | WARNING | ERRO [dsp20163398ti.pdf] https://www2.aneel.gov.br/cedoc/dsp20163398ti.pdf | HTTPError: 403 Client Error: Forbidden for url: https://www2.aneel.gov.br/cedoc/dsp20163398ti.pdf
2026-04-18 14:38:19 | WARNING | ERRO [areh20162130_1.pdf] https://www2.aneel.gov.br/cedoc/areh20162130_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 14:38:47 | WARNING | ERRO [adsp20162229_1.pdf] https://www2.aneel.gov.br/cedoc/adsp20162229_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 14:39:39 | WARNING | ERRO [adsp20162063_1.pdf] https://www2.aneel.gov.br/cedoc/adsp20162063_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 14:41:10 | WARNING | ERRO [adsp20161895_1.pdf] https://www2.aneel.gov.br/cedoc/adsp20161895_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 14:44:32 | WARNING | ERRO [aprt20164000_1.pdf] https://www2.aneel.gov.br/cedoc/aprt20164000_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 14:45:07 | WARNING | ERRO [aprt20163999_1.pdf] https://www2.aneel.gov.br/cedoc/aprt20163999_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 14:45:33 | WARNING | ERRO [adsp20161316_1.pdf] https://www2.aneel.gov.br/cedoc/adsp20161316_1.pdf | HTTPError: HTTP Error 404: 
