2026-04-20 09:24:24 | INFO     | pdf_extractor | Processando: ANEXO IV - Previs╞o licitadas_2.pdf
2026-04-20 09:24:26 | INFO     | pdf_extractor | PyMuPDF: sem imagens embutidas em ANEXO IV - Previs╞o licitadas_2.pdf
2026-04-20 09:24:26 | WARNING  | pdf_extractor | Imagens — pdf2image falhou (Poppler instalado?): Unable to get page count. Is poppler installed and in PATH?
2026-04-20 09:24:26 | INFO     | pdf_extractor | Concluído: ANEXO IV - Previs╞o licitadas_2.pdf | 1 blocos texto | 9 tabelas | 0 imgs | 2.03s
2026-04-20 09:24:26 | INFO     | pdf_extractor | Processando: ANEXO V - Previs╞o lic e autorizadas_2.pdf
2026-04-20 09:24:55 | INFO     | pdf_extractor | PyMuPDF: sem imagens embutidas em ANEXO V - Previs╞o lic e autorizadas_2.pdf
2026-04-20 09:24:55 | WARNING  | pdf_extractor | Imagens — pdf2image falhou (Poppler instalado?): Unable to get page count. Is poppler installed and in PATH?
2026-04-20 09:24:55 | INFO     | pdf_extractor | Concluído: ANEXO V - Previs╞o lic e autorizadas_2.pdf | 1 blocos texto | 362 tabelas | 0 imgs | 29.19s
2026-04-20 09:24:55 | INFO     | pdf_extractor | Processando: Anexo I_ ciclo 2022-2023_1.pdf
2026-04-20 09:25:06 | INFO     | pdf_extractor | PyMuPDF: sem imagens embutidas em Anexo I_ ciclo 2022-2023_1.pdf
2026-04-20 09:25:06 | WARNING  | pdf_extractor | Imagens — pdf2image falhou (Poppler instalado?): Unable to get page count. Is poppler installed and in PATH?
2026-04-20 09:25:06 | INFO     | pdf_extractor | Concluído: Anexo I_ ciclo 2022-2023_1.pdf | 1 blocos texto | 207 tabelas | 0 imgs | 10.80s
2026-04-20 09:25:06 | INFO     | pdf_extractor | Processando: Anexo II_ ciclo 2022-2023_1.pdf
2026-04-20 09:25:09 | INFO     | pdf_extractor | PyMuPDF: sem imagens embutidas em Anexo II_ ciclo 2022-2023_1.pdf
2026-04-20 09:25:09 | WARNING  | pdf_extractor | Imagens — pdf2image falhou (Poppler instalado?): Unable to get page count. Is poppler installed and in PATH?
2026-04-20 09:25:09 | INFO     | pdf_extractor | Concluído: Anexo II_ ciclo 2022-2023_1.pdf | 21 blocos texto | 126 tabelas | 0 imgs | 2.59s
2026-04-20 09:25:09 | INFO     | pdf_extractor | Processando: Anexo III_ ciclo 2022-2023_1.pdf
2026-04-20 09:25:09 | INFO     | pdf_extractor | PyMuPDF: sem imagens embutidas em Anexo III_ ciclo 2022-2023_1.pdf
2026-04-20 09:25:09 | WARNING  | pdf_extractor | Imagens — pdf2image falhou (Poppler instalado?): Unable to get page count. Is poppler installed and in PATH?
2026-04-20 09:25:09 | INFO     | pdf_extractor | Concluído: Anexo III_ ciclo 2022-2023_1.pdf | 5 blocos texto | 15 tabelas | 0 imgs | 0.52s
2026-04-20 09:25:09 | INFO     | pdf_extractor | Processando: Anexo IV_ ciclo 2022-2023_1.pdf
2026-04-20 09:25:11 | INFO     | pdf_extractor | PyMuPDF: sem imagens embutidas em Anexo IV_ ciclo 2022-2023_1.pdf
2026-04-20 09:25:11 | WARNING  | pdf_extractor | Imagens — pdf2image falhou (Poppler instalado?): Unable to get page count. Is poppler installed and in PATH?
2026-04-20 09:25:11 | INFO     | pdf_extractor | Concluído: Anexo IV_ ciclo 2022-2023_1.pdf | 1 blocos texto | 7 tabelas | 0 imgs | 1.36s
2026-04-20 09:25:11 | INFO     | pdf_extractor | Processando: Anexo V_ ciclo 2022-2023_1.pdf
2026-04-20 09:25:33 | INFO     | pdf_extractor | PyMuPDF: sem imagens embutidas em Anexo V_ ciclo 2022-2023_1.pdf
