2026-04-20 11:08:57 | ERROR    | src.extraction.pdf_extractor | Entrada inválida: arquivo.pdf
2026-04-20 11:09:07 | ERROR    | src.extraction.pdf_extractor | Entrada inválida: data/raw/pdfs/
2026-04-20 11:09:19 | ERROR    | __main__ | Entrada inválida: arquivo.pdf
2026-04-20 11:14:36 | INFO     | src.extraction.pdf_extractor | Processando: 01-ANEXO I - 1.2 - Cadastro de agentes_v9.0.pdf
2026-04-20 11:14:39 | INFO     | src.extraction.pdf_extractor | Concluído: 01-ANEXO I - 1.2 - Cadastro de agentes_v9.0.pdf | 28 blocos texto | 15 tabelas | 84 imgs | 2.86s
2026-04-20 11:14:39 | INFO     | src.extraction.pdf_extractor | Processando: 01-ANEXO I - 1.2 - Cadastro de agentes_v9.0_1.pdf
2026-04-20 11:14:41 | INFO     | src.extraction.pdf_extractor | Concluído: 01-ANEXO I - 1.2 - Cadastro de agentes_v9.0_1.pdf | 28 blocos texto | 15 tabelas | 84 imgs | 2.50s
2026-04-20 11:14:41 | INFO     | src.extraction.pdf_extractor | Processando: 02 - Mediç╞o Contábil_2017.1.0.pdf
2026-04-20 11:14:54 | INFO     | src.extraction.pdf_extractor | Concluído: 02 - Mediç╞o Contábil_2017.1.0.pdf | 130 blocos texto | 268 tabelas | 819 imgs | 12.88s
2026-04-20 11:14:54 | INFO     | src.extraction.pdf_extractor | Processando: 02 - Mediç╞o Contábil_2017.1.0_1.pdf
2026-04-20 11:15:08 | INFO     | src.extraction.pdf_extractor | Concluído: 02 - Mediç╞o Contábil_2017.1.0_1.pdf | 130 blocos texto | 268 tabelas | 819 imgs | 13.30s
2026-04-20 11:15:08 | INFO     | src.extraction.pdf_extractor | Processando: 02-ANEXO II - 1.1 - Ades╞o à CCEE_v8.0.pdf
2026-04-20 11:15:10 | INFO     | src.extraction.pdf_extractor | Concluído: 02-ANEXO II - 1.1 - Ades╞o à CCEE_v8.0.pdf | 19 blocos texto | 18 tabelas | 59 imgs | 1.95s
2026-04-20 11:15:10 | INFO     | src.extraction.pdf_extractor | Processando: 02-ANEXO II - 1.1 - Ades╞o à CCEE_v8.0_1.pdf
2026-04-20 11:15:11 | INFO     | src.extraction.pdf_extractor | Concluído: 02-ANEXO II - 1.1 - Ades╞o à CCEE_v8.0_1.pdf | 19 blocos texto | 18 tabelas | 59 imgs | 1.67s
2026-04-20 11:15:11 | INFO     | src.extraction.pdf_extractor | Processando: 02-ANEXO II - 1.3 - Votos e ContribuiçΣes_v3.0.pdf
2026-04-20 11:15:12 | INFO     | src.extraction.pdf_extractor | Concluído: 02-ANEXO II - 1.3 - Votos e ContribuiçΣes_v3.0.pdf | 10 blocos texto | 8 tabelas | 31 imgs | 0.58s
2026-04-20 11:15:12 | INFO     | src.extraction.pdf_extractor | Processando: 02-ANEXO II - 1.3 - Votos e ContribuiçΣes_v3.0_1.pdf
2026-04-20 11:15:13 | INFO     | src.extraction.pdf_extractor | Concluído: 02-ANEXO II - 1.3 - Votos e ContribuiçΣes_v3.0_1.pdf | 10 blocos texto | 8 tabelas | 31 imgs | 0.71s
2026-04-20 11:15:13 | INFO     | src.extraction.pdf_extractor | Processando: 03-ANEXO III - 1.2 - Cadastro de agentes_v10.0.pdf
2026-04-20 11:15:15 | INFO     | src.extraction.pdf_extractor | Concluído: 03-ANEXO III - 1.2 - Cadastro de agentes_v10.0.pdf | 27 blocos texto | 20 tabelas | 81 imgs | 2.45s
2026-04-20 11:15:15 | INFO     | src.extraction.pdf_extractor | Processando: 03-ANEXO III - 1.2 - Cadastro de agentes_v10.0_1.pdf
2026-04-20 11:15:18 | INFO     | src.extraction.pdf_extractor | Concluído: 03-ANEXO III - 1.2 - Cadastro de agentes_v10.0_1.pdf | 27 blocos texto | 20 tabelas | 81 imgs | 2.61s
2026-04-20 11:15:18 | INFO     | src.extraction.pdf_extractor | Processando: 03-ANEXO III - 1.4 - Atendimento_v6.0.pdf
2026-04-20 11:15:19 | INFO     | src.extraction.pdf_extractor | Concluído: 03-ANEXO III - 1.4 - Atendimento_v6.0.pdf | 18 blocos texto | 10 tabelas | 56 imgs | 1.48s
